Hindi,English
"पहलगाम अटैक पर विवादित पोस्ट, 7 राज्यों में 26 गिरफ्तार:इनमें विधायक, पत्रकार, वकील और स्टूडेंट शामिल; देश विरोधी टिप्पणी की थी","Disputed posts on Pahalgam attack, 26 arrested in 7 states: these include MLAs, journalists, lawyers and students; Was made anti -national comments"
"खड़गे बोले- पहलगाम हमले पर PM मोदी गंभीर नहीं:सर्वदलीय बैठक में नहीं पहुंचे, बिहार में रैली करने में व्यस्त थे","Kharge said- PM Modi is not serious on Pahalgam attack: He did not reach all-party meeting, was busy rally in Bihar"
मॉर्निंग न्यूज ब्रीफ:8 आतंकियों के घर गिराए गए; पाकिस्तानी अफसर ने भारतीयों को धमकाया; आज सबसे बड़े पैसेंजर प्लेन ने पहली उड़ान भरी थी,Morning News Brief: 8 terrorists' houses were demolished; Pakistani officer threatened Indians; Today the biggest passenger plane took the first flight
LIVEपहलगाम आतंकी हमले की जांच NIA करेगी:सुरक्षाबलों ने कश्मीर में 8 आतंकियों के घर धमाके से ढहाए; ईरान राष्ट्रपति ने मोदी से बात की,The LIVE Pahalgam will investigate the terrorist attack NIA: The security forces demolished the houses of 8 terrorists in Kashmir; Iran President spoke to Modi
"80 घंटे से पाकिस्तानी सेना की गिरफ्त में BSF जवान:अधिकारियों ने 3 मीटिंग्स की, अब तक रिहाई नहीं; गलती से बॉर्डर पार हुआ था","BSF jawans caught by Pakistani Army for 80 hours: Officers have 3 meetings, not released yet; Was accidentally crossed the border"
भारत ने 17 करोड़ लोगों को गरीबी से निकाला:10 साल में गरीबी दर 14% घटी; वर्ल्ड बैंक ने हालिया रिपोर्ट में बताया,India removed 17 crore people from poverty: Poverty rate declined 14% in 10 years; World Bank told in recent report
नाबालिग के ब्रेस्ट छूना रेप की कोशिश नहीं- कलकत्ता हाईकोर्ट:गंभीर यौन उत्पीड़न बताते हुए आरोपी को दी जमानत; सुप्रीम कोर्ट ने दी थी हिदायत,"Minor's breast touching raping is not attempted- Calcutta High Court: Granted bail to the accused, stating serious sexual harassment; Supreme Court had instructed"
"भास्कर अपडेट्स:कुपवाड़ा में 43 साल के शख्स को घर के बाहर गोली मारी, अस्पताल में भर्ती; इलाके में हाई अलर्ट जारी","Bhaskar updates: 43 -year -old man shot outside the house in Kupwara, hospitalized; High alert issued in the area"
"उद्धव की शिवसेना ने MNS से गठबंधन के संकेत दिए:सोशल मीडिया पर लिखा-  एकजुट होने का समय आया, पार्टी मराठी गौरव की रक्षा को तैयार","Uddhav's Shiv Sena indicated the alliance with MNS: Written on social media- time came to unite, party ready to protect Marathi Gaurav"
मुंबई पुलिस बोली- पूछताछ में सहयोग नहीं कर रहा तहव्वुर:घुमा-फिराकर जवाब दे रहा आतंकी हमले का मास्टरमाइंड; 28 अप्रैल तक NIA हिरासत में है,Mumbai Police bid- Tehwwur is not cooperating in interrogation: Mastermind of terrorist attack turning around; NIA is in custody till 28 April
"भागवत बोले- भारत पड़ोसी को नुकसान नहीं पहुंचाता:कहा- कुछ लोग नहीं बदलेंगे, चाहे कुछ भी कर लो, राजा का कर्तव्य लोगों की रक्षा करना","Bhagwat said- India does not harm the neighbor: said- some people will not change, no matter what the king's duty is to protect people"
सुरक्षाबलों के ऑपरेशन का लाइव टेलीकास्ट न करे मीडिया:पहलगाम हमले के बाद सरकार की एडवाइजरी; रेलवे बोला- गैर कश्मीरी स्टाफ अकेले बाहर न जाएं,Do not telecast the operation of security forces live: Government advisory after Pahalgam attack; Railway said- non-Kashmiri staff should not go out alone
गुजरात में एक हजार से ज्यादा बांग्लादेशी हिरासत में:हरियाणा में 460 पाकिस्तानियों को निकालने का आदेश; अटारी बॉर्डर से भेजे जा रहे,More than one thousand Bangladeshi detained in Gujarat: Order to evacuate 460 Pakistanis in Haryana; Being sent from the attic border
5 साल बाद फिर शुरू होगी कैलाश मानसरोवर यात्रा:चीन ने दी इजाजत; उत्तराखंड और सिक्किम के रास्ते 15 जत्थों में 750 श्रद्धालु जाएंगे,Kailash Mansarovar Yatra will start again after 5 years: China allowed; 750 devotees will go to 15 batches via Uttarakhand and Sikkim
राहुल बोले- मौजूदा पॉलिटिक्स में विपक्ष को कुचलने का टारगेट:मीडिया को कमजोर किया जा रहा; दुनिया में लोकतांत्रिक राजनीति मौलिक रूप से बदल गई,Rahul said- Target to crush the opposition in existing politics: Media is being weakened; Democratic politics in the world changed fundamentally
जम्मू-कश्मीर में 5 साल में 84 हजार करोड़ का निवेश:पर्यटन से 18 हजार करोड़ कमाएं; 35 साल में आतंकवाद से 40 हजार मौतें,Investment of 84 thousand crores in 5 years in Jammu and Kashmir: Earn 18 thousand crores from tourism; 40 thousand deaths due to terrorism in 35 years
अरुणाचल-सिक्किम समेत पूर्वोत्तर के 8 राज्यों में आज भारी बारिश:UP-MP समेत 10 राज्यों में ओले गिरने की संभावना; देश के 12 शहरों में पारा 44° पार,Heavy rains today in 8 states of the Northeast including Arunachal-Sikkim: Possibility of hail in 10 states including UP-Mp; Mercury crosses 44 ° in 12 cities of the country
मन की बात का 121वां एपिसोड आज:पहलगाम हमले का जिक्र कर सकते हैं पीएम; गर्मी से बचने के टिप्स भी दे सकते हैं,121st episode of Mann Ki Baat today: PM can mention Pahalgam attack; Can also give tips to avoid heat
"बोरिया-बिस्तर बांधकर लौट रहे पाकिस्तानी नागरिक:भारत सरकार से लगाई गुहार, लेकिन भड़काऊ बयानबाजी से बाज नहीं आ रहे पड़ोसी नेता, देखें VIDEO","Pakistani citizens returning after tying boria-beds: Neighboring leaders are not hawking from the Government of India, but the neighboring leaders are not desisting, watch VIDEO"
सेना के रडार पर आतंकी:लोकेट कर उड़ाए जा रहे आतंक के 'ठिकाने; दो दिन में 8 टेररिस्ट के घर गिराए गए,Terrorists on the army radar: 'hideouts of terror being blown out; 8 Terrorist's houses were dropped in two days
पहलगाम आतंकी हमले की जांच NIA करेगी:सुरक्षाबलों ने कश्मीर में 8 आतंकियों के घर धमाके से ढहाए; ईरान राष्ट्रपति ने मोदी से बात की,NIA will investigate the Pahalgam terror attack: security forces demolished the houses of 8 terrorists in Kashmir; Iran President spoke to Modi
"लेफ्टिनेंट नरवाल की पत्नी बोली- प्यार कर लेने दो,VIDEO:6 बार चेहरा चूमा, सिर पर हाथ फेरा; पहलगाम में आतंकियों ने गोली मारी थी","Lieutenant Narwal's wife said- Let me fall in love, video: Kissed face 6 times, turned a hand on the head; Terrorists shot in Pahalgam"
"हरियाणा में पिकअप ने 11 लोगों को कुचला, 7 मरे:दिल्ली-मुंबई एक्सप्रेसवे पर बिखरी लाशें; 4 महिलाएं एक परिवार की, PM मोदी ने शोक जताया","Pickup in Haryana crushed 11 people, 7 dead: bodies scattered on Delhi-Mumbai Expressway; 4 women of a family, PM Modi mourned"
"सहारनपुर में पटाखा फैक्ट्री में ब्लास्ट, 3 की मौत:शवों के उड़े चीथड़े; पॉलिथीन में बटोरकर ले गई पुलिस, धमाके से पूरी बिल्डिंग ढही","Blast in cracker factory in Saharanpur, 3 killed: bodies of bodies; Police took the entire building collapsed by collapse in polythene"
भास्कर अपडेट्स:बंगाल टीचर भर्ती घोटाला- मुख्यमंत्री ने ग्रुप C और D के नॉन-टीचिंग स्टाफ को वित्तीय मदद का ऐलान किया,Bhaskar Updates: Bengal Teacher Recruitment Scam- Chief Minister announced financial assistance to Non-Teching Staff of Group C and D
"बारिश और तूफान से कम हुई गर्मी:अरुणाचल प्रदेश में तेज बारिश, ओले गिरे; नदी किनारे फंसे 3 लोगों का हाथियों की मदद से रेस्क्यू","Heat decreased due to rain and storm: strong rains in Arunachal Pradesh, hail fell; 3 people trapped along the river rescue with the help of elephants"
"राजस्थान के दूल्हे को पाकिस्तान जाने से रोका:30 अप्रैल को अमरकोट में होनी थी शादी, 3 साल की कोशिश के बाद मिला था वीजा","Rajasthan's groom stopped from going to Pakistan: Marriage was to be held in Amarkot on April 30, visa was received after 3 years of attempt"
"15वां रोजगार मेला, 51 हजार युवाओं को जॉब लेटर बांटे:वीडियो कॉन्फ्रेंसिंग के जरिए शामिल हुए PM, कहा- युवाओं के लिए अवसरों का समय","15th employment fair, Job letters distributed to 51 thousand youths: PM joined through video conferencing, said- opportunities for youth"
पंजाब बॉर्डर से पकड़ा BSF जवान पाकिस्तान की कैद में:72 घंटे बाद भी नहीं छोड़ा; पाक रेंजर्स बोले- हाईकमांड के ऑर्डर तक रिहाई नहीं,BSF jawans caught from Punjab border in Pakistan's captivity: Did not leave even after 72 hours; Pak Rangers said- no release till high-standing order
"भोपाल के इंजीनियर की दुल्हन पाकिस्तान में फंसी, वीजा रोका:पहलगाम हमले के बाद भारत आने की अनुमति नहीं; किया था ऑनलाइन निकाह","Bhopal engineer bride trapped in Pakistan, stopped visa: not allowed to come to India after Pahalgam attack; Was online nikah"
पहलगाम अटैक- धनबाद में 15 जगह ATS की रेड:हिरासत में 5 लोग; लैपटॉप-हथियार मिलने की खबर; डार्क वेब से आतंकी संगठन से जुड़े होने का शक,Pahalgam Attack- Red of ATS at 15 places in Dhanbad: 5 people in custody; News of getting laptop-hathiyar; Dark web suspicion of being associated with terrorist organization
"कॉलेज छात्राओं को गांजा पिलाकर रेप करते, वीडियो बनाते थे:भोपाल में शादी-धर्मांतरण के लिए दबाव बनाया; आरोपी के दोस्तों ने भी किया दुष्कर्म",College girls used to rape ganja and make videos: pressure for marriage in Bhopal; Friends of the accused also raped
"आतंकियों ने कहा- हिंदू मुसलमान अलग हो जाएं:मुस्लिम परिवार ने साथ नहीं छोड़ा, आतंकी हमले के चश्मदीद ने बताई आपबीती, VIDEO","Terrorists said- Hindu Muslims should separate: Muslim family did not leave together, eyewitnesses of terrorist attack told the incident, video"
"ग्राउंड रिपोर्ट'ब्लैक फॉरेस्ट' में LIVE एनकाउंटर के बीच पहुंचा दैनिक भास्कर:आधे घंटे तक फायरिंग हुई, गांव वाले बोले- 20 मिनट में 50 IED ब्लास्ट हुए","Dainik Bhaskar reached between LIVE encounter in ground report 'Black Forest': Firing took place for half an hour, villagers said- 50 IED blasts in 20 minutes"
"महाराष्ट्र मंत्री बोले- हिंदू खरीददारी करने से पहले धर्म पूछें:हनुमान चालीसा पढवाएं, जो न पढ़ सके उससे सामान न खरीदें","Maharashtra Minister said- Ask religion before making Hindu purchases: Study Hanuman Chalisa, do not buy goods from those who cannot study"
"राष्ट्रपति द्रौपदी मुर्मू 5 मई को शिमला आएंगी:मुख्य सचिव ने तैयारियों को लेकर ली मीटिंग, SPG भी छराबड़ा पहुंची","President Draupadi Murmu will come to Shimla on May 5: Chief Secretary took a meeting with preparations, SPG also reached Chhara over"
"तेलंगाना CM बोले- पाकिस्तान के दो टुकड़े कर दो:PoK भारत में मिला दो; मुंहतोड़ जवाब देने का वक्त, हम सब PM मोदी के साथ हैं","Telangana CM said- Truce Pakistan two pieces: Pok mix in India; Time to give a befitting reply, we are all with PM Modi"
"भास्कर एक्सक्लूसिवसीरियल-किलर ने एक-रात में 3 लोगों के प्राइवेट पार्ट काटे:भीलवाड़ा में तीन मर्डर; एक दोस्त और पुलिसवाले को भी मारने वाला था, 70 कॉल किए","Bhaskar Exclusive Creater-Kaller cut private parts of 3 people in one-night: three murder in Bhilwara; A friend and policeman was also about to kill, made 70 calls"
"रामगोपाल यादव बोले- हिंदू ही हिंदू को मार रहा:वाराणसी में हिंदू लड़की से रेप हुआ, उसमें कौन सा मुसलमान था?","Ram Gopal Yadav said- Hindu is killing Hindu: In Varanasi, a Hindu girl was raped, which Muslim was there?"
मॉर्निंग न्यूज ब्रीफ:भारत बोला- पाकिस्तान को एक बूंद पानी नहीं देंगे; 4 आतंकियों के घर उड़ाए; 5 मिनट में देश-दुनिया की बड़ी खबरें,Morning News Brief: India said- a drop of water to Pakistan will not give water; 4 flew the houses of the terrorists; Big news of country and world in 5 minutes
"नेशनल हेराल्ड केस, सोनिया-राहुल को नोटिस से कोर्ट का इनकार:ED से कहा- चार्जशीट से कुछ डॉक्यूमेंट्स गायब, जमा करिए, फिर फैसला करेंगे","National Herald case, court refuses to notice Sonia-Rahul: ED told ED- Some documents disappear, submit, submit, then decide"
पूर्व ISRO चीफ के. कस्तूरीरंगन नहीं रहे:84 की उम्र में अंतिम सांस ली; इनके नेतृत्व में चंद्रयान मिशन की प्लानिंग शुरू हुई थी,Former ISRO Chief K. Kasturirangan did not remain: breathed his last at the age of 84; Planning of Chandrayaan Mission started under his leadership
"सुप्रीम कोर्ट बोला- राहुल को इतिहास-भूगोल नहीं मालूम:सावरकर पर टिप्पणी के लिए फटकार, जज बोले- फ्रीडम फाइटर्स के खिलाफ अनाप-शनाप न बोलें","Supreme Court said- Rahul does not know history-geography: Judge for commenting on Savarkar, judge said- do not speak against Freedom Fighters"
"केंद्र ने कहा- पाकिस्तान को एक बूंद पानी नहीं देंगे:सिंधु जल समझौता स्थगित करने का फैसला 3 फेज में होगा, 3 तरह की रणनीति बन रही","The Center said- a drop of water to Pakistan will not give water: The decision to postpone the Indus Water Agree will be in 3 phases, 3 types of strategies are being made"
"वक्फ कानून पर केंद्र का सुप्रीम कोर्ट में हलफनामा:कहा- धार्मिक अधिकार में कोई हस्तक्षेप नहीं, सभी याचिकाएं खारिज की जाएं","Center affidavits on Waqf law in the Supreme Court: said- there is no interference in religious rights, all petitions should be dismissed"
DRDO ने स्क्रैमजेट इंजन की सक्सेसफुल टेस्टिंग की:हैदराबाद सेंटर पर लगातार 1000 सेकेंड तक टेस्टिंग पूरी ; अब फुल-स्केल उड़ान के लिए तैयार,DRDO conducted successful testing of scumjet engine: Complete testing for 1000 seconds at Hyderabad Center; Now ready for full flight
"कठुआ में दिखे 4 संदिग्ध, सेना ने तलाशी शुरू की:स्थानीय लोगों ने सुरक्षाबलों को जानकारी दी थी; सुबह बांदीपोरा में एक आतंकी मारा गया","4 suspects seen in Kathua, army began searching: locals informed security forces; A terrorist killed in Bandipora in the morning"
"पहलगाम में खच्चर वाला गिरफ्तार, टूरिस्ट से धर्म पूछा था:यूपी की महिला बोली- आतंकियों के जो स्केच जारी हुए, उनमें दो लोगों से बहस हुई थी","The mule arrested in Pahalgam, the tourist was asked religion: The women of UP bid- the sketches of the terrorists were argued with two people."
मॉर्निंग न्यूज ब्रीफ:पहलगाम हमला– सरकार ने सुरक्षा में चूक मानी; PAK ने धमकी दी; पाकिस्तानी सैनिकों ने BSF जवान को पकड़ा; और बहुत कुछ,Morning News Brief: Pahalgam Attack - Government agreed in security; PAK threatened; Pakistani soldiers caught BSF jawan; And more
हिसार में पाकिस्तानी परिवार पकड़ा:वीजा खत्म होने के बाद भी रह रहा था; सभी 15 सदस्यों को दिल्ली के पाकिस्तानी कैंप भेजा,Pakistani family caught in Hisar: I was living even after the visa was over; All 15 members sent to Pakistani camp in Delhi
"भास्कर एक्सक्लूसिवपहलगाम में हरियाणा के लेफ्टिनेंट की हत्या कैसे हुई:पत्नी बोली- आर्मी वर्दी वाला आया; पूछा- हिंदू हो, हां सुनते ही AK-47 से 3 गोलियां मारीं","How was Lieutenant of Haryana killed in Bhaskar Exclusive Pahalgam: Wife Boli- Army Uniform came; Asked- be a Hindu, yes, he heard 3 bullets from AK-47"
हिमाचल राजभवन से पाकिस्तान का झंडा हटाया:पहलगाम आतंकी हमले के बाद तस्वीरें सामने आईं; 53 साल पहले शिमला समझौते के बाद लगाया था,"Pakistan's flag removed from Himachal Raj Bhavan: Pictures came out after Pahalgam terror attack; 53 years ago, after the Shimla Agreement"
भारत-पाक में तनाव पर ईरान बोला- हम मध्यस्थता को तैयार:अमेरिका ने कहा- हम भारत के साथ; कांग्रेस ने दिल्ली में कैंडल मार्च निकाला,Iran said on tension in Indo-Pak- We ready for arbitration: America said- we with India; Congress takes out a candle march in Delhi
"मुकेश अंबानी के छोटे बेटे अनंत को मिली बड़ी जिम्मेदारी:रिलायंस इंडस्ट्रीज के एग्जीक्यूटिव डायरेक्टर बने; 1 मई से संभालेंगे पद, 5 साल का कार्यकाल","Mukesh Ambani's younger son Anant gets a big responsibility: became the executive director of Reliance Industries; Will take over the post from May 1, 5 years term"
"यूनियन बैंक ने FD की ब्याज दरों में कटौती की:अब 1 साल की FD कराने पर 6.75% ब्याज मिलेगा, देखें नई इंटरेस्ट रेट्स","Union Bank cuts FD interest rates: Now 6.75% interest will be available on 1 year FD, see new interest rates"
"इस हफ्ते सोने-चांदी में रही तेजी:सोना 721 रुपए महंगा होकर 95,631 रुपए पर पहुंचा, चांदी 97,684 रुपए किलो बिक रही","Gold and silver rise this week: Gold reached Rs 721 and reached Rs 95,631, silver is being sold at Rs 97,684 kg"
"अब भारत में 6 करोड़ से ज्यादा आईफोन बनेंगे:LIC का होम लोन 0.25% सस्ता हुआ, रिलायंस को ₹19,407 करोड़ का मुनाफा","Now more than 6 crore iPhones will be made in India: LIC's home loan is 0.25% cheaper, Reliance has a profit of ₹ 19,407 crore"
"रिलायंस को चौथी तिमाही में ₹19,407 करोड़ का मुनाफा:सालाना कमाई 10% बढ़कर ₹2.69 लाख करोड़, ₹5.50 प्रति शेयर डिविडेंड देगी कंपनी","Reliance has a profit of ₹ 19,407 crore in the fourth quarter: The company will give a dividend 10% to ₹ 2.69 lakh crore, ₹ 5.50 per share"
"एक साल में 10% गिर चुका है मारुति का शेयर:मारुति सुजुकी ने बेचीं 6 लाख से ज्यादा गाड़ियां, फिर भी चौथी तिमाही में मुनाफा घटा","Maruti share has fallen 10% in a year: Maruti Suzuki sold more than 6 lakh vehicles, yet the profit decreased in the fourth quarter"
ओला इलेक्ट्रिक को केंद्रीय परिवहन मंत्रालय ने शो-कॉज नोटिस दिया:7 दिन के भीतर सर्विस सेंटर और ट्रेड सर्टिफिकेट्स की जानकारी मांगी; 5% गिरा शेयर,The Union Ministry of Transport gave Show-Cosses notice to Ola Electric: Better information about service centers and trade certificates within 7 days; 5% dropped share
"जग्गी ब्रदर्स के खिलाफ लुकआउट सर्कुलर जारी:ED ने एक दिन पहले कंपनी के ऑफिसेस पर छापे मारे थे, ₹262 करोड़ की हेराफेरी का आरोप","Lookout circular issued against Jaggi Brothers: ED raided the company's offices a day earlier, accused of rigging ₹ 262 crore"
"पहलगाम हमले के बाद भारत-पाक तनाव से बाजार में गिरावट:सेंसेक्स 589 अंक गिरकर 79,212 के स्तर पर बंद, मेटल-फार्मा सेक्टर में बिकवाली","Indo-Pak tension declines due to Pahalgam attack: Sensex falls 589 points to close at 79,212 levels, selling in metal-pharma sector"
"LIC हाउसिंग फाइनेंस का होम लोन 0.25% सस्ता हुआ:अब 8% इंटरेस्ट पर मिलेगा कर्ज, यहां समझें EMI कितनी कम हो जाएगी","Home loan of LIC Housing Finance became 0.25% cheaper: Now 8% interest will be given on interest, understand here how much EMI will be reduced"
"अनंत अंबानी रिलायंस इंडस्ट्रीज के एग्जीक्यूटिव डायरेक्टर बने:यूनियन बैंक में FD कराने पर 6.75% ब्याज मिलेगा, 2025 रॉयल एनफील्ड हंटर 350 लॉन्च","Anant Ambani becomes Executive Director of Reliance Industries: 6.75% interest will be available for FD in Union Bank, 2025 Royal Enfield Hunter launched 350"
"अमेरिका में बिकने वाले सभी आईफोन अब भारत में बनेंगे:2026 तक चीन से शिफ्ट हो सकती है मैन्यूफैक्चरिंग, 6 करोड़+ आईफोन बनेंगे","All iPhones sold in America will now be made in India: Manufacturing can be shifted from China by 2026, 6 crore+ iPhones will be made"
"आज सोने-चांदी के दाम में गिरावट:सोना ₹617 गिरकर ₹95,669 पर आया, चांदी ₹97,513 किलो बिक रही","Gold and silver prices fall today: gold fell ₹ 617 to ₹ 95,669, silver is being sold ₹ 97,513 kg"
"पहलगाम अटैक- 90% लोगों ने ट्रैवल बुकिंग कैंसिल की:ED हिरासत में जेनसोल फाउंडर पुनीत जग्गी, अडाणी एनर्जी का चौथी तिमाही में मुनाफा 79% बढ़ा","Pahalgam Attack- 90% people canceled travel booking: Jansol Founder Puneet Jaggi, Adani Energy's profit up 79% in the fourth quarter"
"एक्सिस बैंक का चौथी तिमाही में मुनाफा 1.62% घटा:कमाई सालाना आधार पर 5.60% बढ़कर ₹39,958 करोड़ रही, ₹1 प्रति शेयर डिविडेंड देगा बैंक","Axis Bank's profit decreased by 1.62% in the fourth quarter: Earnings increased by 5.60% to ₹ 39,958 crore on an annual basis, ₹ 1 per share will divide the bank"
"ED ने जेनसोल के परिसरों पर छापेमारी की:को-फाउंडर पुनीत जग्गी को हिरासत में लिया, ₹262 करोड़ की हेराफेरी का आरोप","ED raided Jansol campus: Ko-founder Puneet Jaggi detained, accused of rigging ₹ 262 crore"
"टेक महिंद्रा का चौथी तिमाही में मुनाफा 77% बढ़ा:रेवेन्यू सालाना आधार पर ₹13,384 करोड़ रहा, प्रति शेयर ₹30 डिविडेंड देगी कंपनी","Tech Mahindra's profit up 77% in the fourth quarter: Revenue was ₹ 13,384 crore on an annual basis, the company will give ₹ 30 dividend per share"
"सोना आज ₹201 महंगा होकर ₹96,286 पर आया:2 दिन पहले गोल्ड का भाव ₹1 लाख था, चांदी ₹1,021 बढ़कर ₹97,634 प्रति किलो बिक रही","Gold today came ₹ 201 and came to ₹ 96,286: Gold was ₹ 1 lakh, 2 days ago, silver increased ₹ 1,021 to ₹ 97,634 per kg."
"अडाणी एनर्जी सॉल्यूशंस का चौथी तिमाही में मुनाफा 79% बढ़ा:रेवेन्यू बढ़कर ₹6,375 करोड़ रहा, 2025 में अब तक कंपनी का शेयर 20% चढ़ा","Adani Energy Solutions's profit up 79% in the fourth quarter: Revenue increased to ₹ 6,375 crore, the company's stock rises 20% so far in 2025"
"पहलगाम अटैक के बाद पर्यटकों का पलायन शुरू:24 घंटे में 90% होटल कमरे खाली, लोगों में रोजगार खोने का डर, GDP पर पड़ेगा असर","Tourist migration begins after Pahalgam attack: 90% hotel room empty in 24 hours, fear of losing employment in people, GDP will affect GDP"
SME कंपनियों के मेनबोर्ड में शिफ्टिंग के नियम सख्त हुए:वित्त वर्ष में रेवेन्यू ₹100 करोड़ होना जरूरी; मिनिमम नेटवर्थ ₹75 करोड़ होनी चाहिए,The rules of shifting in the mainboard of SME companies were strict: Revenue ₹ 100 crore in the financial year is required; Minimum net worth should be ₹ 75 crore
"लगातार 7 दिन की तेजी के बाद गिरा शेयर बाजार:सेंसेक्स 315 अंक नीचे 79,801 पर बंद, निफ्टी 82 अंक गिरा; रियल्टी शेयर सबसे ज्यादा टूटे","Stock market dropped after 7 consecutive days of rise: Sensex closed at 79,801, Nifty dropped 82 points; Realty shares broken the most"
"मैगी बनाने वाली कंपनी नेस्ले-इंडिया का मुनाफा 6.5% घटा:चौथी तिमाही में रेवेन्यू 4.48% बढ़कर ₹5,503 करोड़ रहा, प्रति शेयर ₹10 डिविडेंड देगी कंपनी","Maggi making company Nestle-India's profit decreased by 6.5%: Revenue increased 4.48% to ₹ 5,503 crore in the fourth quarter, the company will give ₹ 10 dividend per share"
"₹10 लाख से ज्यादा के सामान पर 1% TCS लगेगा:गोल्ड एक दिन में ₹2399 सस्ता हुआ, FY26 में भारतीय GDP 6.3% की दर से बढ़ेगी","Equal items of more than ₹ 10 lakh will cost 1% TCS: Gold becomes ₹ 2399 cheaper in a day, Indian GDP will increase at 6.3% in FY26"
